
2019-05-13 08:08:47 - 线程数[17] 线程[报警状态轮询] 程序版本[1.0.0.10] 线体[未选择]报警灯(红灯)闪耀 启动
2019-05-13 08:08:47 - 线程数[20] 线程[ESD串口通信线程] 程序版本[1.0.0.10] 线体[未选择]A线程循环发送串口指令 启动
2019-05-13 08:08:47 - 线程数[22] 线程[ESD串口通信线程] 程序版本[1.0.0.10] 线体[未选择][采集器B]线程循环发送串口指令 启动
2019-05-13 08:08:47 - 线程数[24] 线程[报警状态轮询] 程序版本[1.0.0.10] 线体[未选择]报警灯(红灯)闪耀 启动
2019-05-13 08:08:47 - 线程数[28] 线程[统计图表线程] 程序版本[1.0.0.10] 线体[未选择]统计图表方法线程 启动
2019-05-13 08:08:49 - 线程数[32] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 77 03 52 45 41 44 ,长度:8
2019-05-13 08:08:51 - 线程数[35] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 03 79 52 45 41 44 FD 00 77 03 52 45 41 44 ,长度:16
2019-05-13 08:08:53 - 线程数[37] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 03 79 52 45 41 44 FD 00 77 03 52 45 41 44 ,长度:16
2019-05-13 08:08:55 - 线程数[39] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 03 79 52 45 41 44 FD 00 77 03 52 45 41 44 ,长度:16
2019-05-13 08:08:57 - 线程数[41] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 03 79 52 45 41 44 FD 00 77 03 52 45 41 44 ,长度:16
2019-05-13 08:08:59 - 线程数[43] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 03 79 52 45 41 44 FD 00 77 03 52 45 41 44 ,长度:16
2019-05-13 08:09:01 - 线程数[45] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 03 79 52 45 41 44 FD 00 77 03 52 45 41 44 ,长度:16
2019-05-13 08:09:03 - 线程数[47] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 03 79 52 45 41 44 FD 00 77 03 52 45 41 44 ,长度:16
2019-05-13 08:09:05 - 线程数[49] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 03 79 52 45 41 44 FD 00 77 03 52 45 41 44 ,长度:16
2019-05-13 08:09:07 - 线程数[50] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 03 79 52 45 41 44 FD 00 77 03 52 45 41 44 ,长度:16
2019-05-13 08:09:09 - 线程数[52] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 03 79 52 45 41 44 FD 00 77 03 52 45 41 44 ,长度:16
2019-05-13 08:09:11 - 线程数[54] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 03 79 52 45 41 44 FD 00 77 03 52 45 41 44 ,长度:16
2019-05-13 08:09:13 - 线程数[56] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 03 79 52 45 41 44 FD 00 77 03 52 45 41 44 ,长度:16
2019-05-13 08:09:15 - 线程数[58] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 03 79 52 45 41 44 FD 00 77 03 52 45 41 44 ,长度:16
2019-05-13 08:09:17 - 线程数[60] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 03 79 52 45 41 44 FD 00 77 03 52 45 41 44 ,长度:16
2019-05-13 08:09:19 - 线程数[62] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 03 79 52 45 41 44 FD 00 77 03 52 45 41 44 ,长度:16
2019-05-13 08:09:21 - 线程数[64] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 03 79 52 45 41 44 FD 00 77 03 52 45 41 44 ,长度:16
2019-05-13 08:09:23 - 线程数[66] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 03 79 52 45 41 44 FD 00 77 03 52 45 41 44 ,长度:16
2019-05-13 08:09:25 - 线程数[68] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 03 79 52 45 41 44 FD 00 77 03 52 45 41 44 ,长度:16
2019-05-13 08:09:27 - 线程数[70] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 03 79 52 45 41 44 FD 00 77 03 52 45 41 44 ,长度:16
2019-05-13 08:09:30 - 线程数[72] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 03 79 52 45 41 44 FD 00 77 03 52 45 41 44 ,长度:16
2019-05-13 08:09:32 - 线程数[74] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 03 79 52 45 41 44 FD 00 77 03 52 45 41 44 ,长度:16
2019-05-13 08:09:34 - 线程数[76] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 03 79 52 45 41 44 FD 00 77 03 52 45 41 44 ,长度:16
2019-05-13 08:09:36 - 线程数[78] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 03 79 52 45 41 44 FD 00 77 03 52 45 41 44 ,长度:16
2019-05-13 08:09:38 - 线程数[80] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 03 79 52 45 41 44 FD 00 77 03 52 45 41 44 ,长度:16
2019-05-13 08:09:40 - 线程数[81] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 03 79 52 45 41 44 FD 00 77 03 52 45 41 44 ,长度:16
2019-05-13 08:09:42 - 线程数[83] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 03 79 52 45 41 44 FD 00 77 03 52 45 41 44 ,长度:16
2019-05-13 08:09:44 - 线程数[85] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 03 79 52 45 41 44 FD 00 77 03 52 45 41 44 ,长度:16
2019-05-13 08:09:46 - 线程数[87] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 03 79 52 45 41 44 FD 00 77 03 52 45 41 44 ,长度:16
2019-05-13 08:09:48 - 线程数[89] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 03 79 52 45 41 44 FD 00 77 03 52 45 41 44 ,长度:16
2019-05-13 08:09:50 - 线程数[91] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 03 79 52 45 41 44 FD 00 77 03 52 45 41 44 ,长度:16
2019-05-13 08:09:52 - 线程数[93] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 03 79 52 45 41 44 FD 00 77 03 52 45 41 44 ,长度:16
2019-05-13 08:09:54 - 线程数[95] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 03 79 52 45 41 44 FD 00 77 03 52 45 41 44 ,长度:16
2019-05-13 08:09:56 - 线程数[97] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 03 79 52 45 41 44 FD 00 77 03 52 45 41 44 ,长度:16
2019-05-13 08:09:58 - 线程数[99] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 03 79 52 45 41 44 FD 00 77 03 52 45 41 44 ,长度:16
2019-05-13 08:10:00 - 线程数[101] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 03 79 52 45 41 44 FD 00 77 03 52 45 41 44 ,长度:16
2019-05-13 08:10:02 - 线程数[102] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 03 79 52 45 41 44 FD 00 77 03 52 45 41 44 ,长度:16
2019-05-13 08:10:04 - 线程数[104] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 03 79 52 45 41 44 FD 00 77 03 52 45 41 44 ,长度:16
2019-05-13 08:10:06 - 线程数[106] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 03 79 52 45 41 44 FD 00 77 03 52 45 41 44 ,长度:16
2019-05-13 08:10:08 - 线程数[108] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 03 79 52 45 41 44 FD 00 77 03 52 45 41 44 ,长度:16
2019-05-13 08:10:10 - 线程数[110] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 03 79 52 45 41 44 FD 00 77 03 52 45 41 44 ,长度:16
2019-05-13 08:10:12 - 线程数[112] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 03 79 52 45 41 44 FD 00 77 03 52 45 41 44 ,长度:16
2019-05-13 08:10:14 - 线程数[114] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 03 79 52 45 41 44 FD 00 77 03 52 45 41 44 ,长度:16
2019-05-13 08:10:16 - 线程数[116] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 03 79 52 45 41 44 FD 00 77 03 52 45 41 44 ,长度:16
2019-05-13 08:10:18 - 线程数[118] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 03 79 52 45 41 44 FD 00 77 03 52 45 41 44 ,长度:16
2019-05-13 08:10:20 - 线程数[120] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 03 79 52 45 41 44 FD 00 77 03 52 45 41 44 ,长度:16
2019-05-13 08:10:22 - 线程数[122] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 03 79 52 45 41 44 FD 00 77 03 52 45 41 44 ,长度:16
2019-05-13 08:10:24 - 线程数[125] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 03 79 52 45 41 44 FD 00 77 03 52 45 41 44 ,长度:16
2019-05-13 08:10:26 - 线程数[126] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 03 79 52 45 41 44 FD 00 77 03 52 45 41 44 ,长度:16
2019-05-13 08:10:28 - 线程数[128] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 03 79 52 45 41 44 FD 00 77 03 52 45 41 44 ,长度:16
2019-05-13 08:10:30 - 线程数[130] 线程[] 程序版本[1.0.0.10] 线体[未选择]A串口接收指令:FD 00 03 79 52 45 41 44 FD 00 77 03 52 45 41 44 ,长度:16
